algorithm,trial,success,path_length,computation_time,nodes,iterations
RRT,1,1,19.068211,0.136478,708,888
RRT,2,1,18.205500,0.072568,498,669
RRT,3,1,16.737540,0.081672,557,692
RRT,4,1,16.394830,0.052150,412,557
RRT,5,1,20.477243,0.066145,472,660
RRT,6,1,21.596959,0.050435,403,543
RRT,7,1,16.209130,0.082916,534,738
RRT,8,1,16.038112,0.040437,356,446
RRT,9,1,20.421637,0.465826,1463,1836
RRT,10,1,16.586376,0.055958,438,548
RRT,11,1,17.555362,0.207697,903,1133
RRT,12,1,14.959476,0.062554,445,592
RRT,13,1,15.302173,0.106603,615,861
RRT,14,1,18.356851,0.131939,712,890
RRT,15,1,15.477118,0.048378,403,500
RRT,16,1,16.689871,0.147485,721,951
RRT,17,1,16.414912,0.210279,936,1152
RRT,18,1,15.511673,0.119068,663,854
RRT,19,1,18.188437,0.058511,438,568
RRT,20,1,15.694365,0.078705,533,673
RRT*,1,1,12.377948,11.703172,4122,5000
RRT*,2,1,12.463164,11.588140,4134,5000
RRT*,3,1,12.398599,11.992702,4138,5000
RRT*,4,1,12.419970,11.962446,4154,5000
RRT*,5,1,12.408217,11.228126,4077,5000
RRT*,6,1,12.481014,11.683925,4084,5000
RRT*,7,1,12.455710,11.505558,4123,5000
RRT*,8,1,12.371965,11.791118,4088,5000
RRT*,9,1,12.470818,20.103040,4121,5000
RRT*,10,1,12.434663,25.278842,4136,5000
RRT*,11,1,12.428051,18.986254,4117,5000
RRT*,12,1,12.366199,11.652067,4116,5000
RRT*,13,1,12.407703,11.484477,4055,5000
RRT*,14,1,12.415996,11.759863,4130,5000
RRT*,15,1,12.443778,11.864254,4153,5000
RRT*,16,1,12.501652,11.454995,4083,5000
RRT*,17,1,12.421182,11.852010,4124,5000
RRT*,18,1,12.376998,11.454260,4108,5000
RRT*,19,1,12.509331,11.870837,4117,5000
RRT*,20,1,12.456173,11.890149,4152,5000
PRM,1,1,12.636626,0.369736,502,500
PRM,2,1,12.654006,0.361111,502,500
PRM,3,1,12.729994,0.385387,502,500
PRM,4,1,12.889846,0.354572,502,500
PRM,5,1,12.588218,0.350125,502,500
PRM,6,1,12.811753,0.370463,502,500
PRM,7,1,12.515077,0.366057,502,500
PRM,8,1,12.721503,0.356872,502,500
PRM,9,1,12.629535,0.363452,502,500
PRM,10,1,12.922016,0.360979,502,500
PRM,11,1,12.738325,0.359895,502,500
PRM,12,1,12.835765,0.363695,502,500
PRM,13,1,12.626724,0.357323,502,500
PRM,14,1,12.550705,0.345852,502,500
PRM,15,1,13.122681,0.357044,502,500
PRM,16,1,12.545799,0.360532,502,500
PRM,17,1,12.618115,0.361628,502,500
PRM,18,1,12.541209,0.371718,502,500
PRM,19,1,12.463238,0.383764,502,500
PRM,20,1,12.744154,0.384150,502,500
A*,1,1,13.296930,0.042817,3648,3648
A*,2,1,13.296930,0.041651,3648,3648
A*,3,1,13.296930,0.041458,3648,3648
A*,4,1,13.296930,0.040971,3648,3648
A*,5,1,13.296930,0.041048,3648,3648
A*,6,1,13.296930,0.042567,3648,3648
A*,7,1,13.296930,0.040989,3648,3648
A*,8,1,13.296930,0.041015,3648,3648
A*,9,1,13.296930,0.040747,3648,3648
A*,10,1,13.296930,0.041130,3648,3648
A*,11,1,13.296930,0.040421,3648,3648
A*,12,1,13.296930,0.040691,3648,3648
A*,13,1,13.296930,0.041587,3648,3648
A*,14,1,13.296930,0.040559,3648,3648
A*,15,1,13.296930,0.041709,3648,3648
A*,16,1,13.296930,0.040813,3648,3648
A*,17,1,13.296930,0.041016,3648,3648
A*,18,1,13.296930,0.041041,3648,3648
A*,19,1,13.296930,0.040186,3648,3648
A*,20,1,13.296930,0.040488,3648,3648
