algorithm,trial,success,path_length,computation_time,nodes,iterations
RRT,1,1,15.502846,0.089006,582,700
RRT,2,1,14.866974,0.040982,370,457
RRT,3,1,15.797573,0.037526,345,453
RRT,4,1,14.282556,0.019174,224,283
RRT,5,1,17.354899,0.167061,801,980
RRT,6,1,15.588409,0.053219,426,543
RRT,7,1,16.242206,0.265437,1073,1260
RRT,8,1,16.440904,0.376151,1287,1604
RRT,9,1,16.933116,0.057833,427,563
RRT,10,1,16.579396,0.051719,392,542
RRT,11,1,16.168525,0.075321,502,657
RRT,12,1,14.911870,0.043417,390,461
RRT,13,1,14.621447,0.056423,442,547
RRT,14,1,16.895000,0.145159,749,890
RRT,15,1,15.483416,0.048617,402,500
RRT,16,1,14.375382,0.034324,334,390
RRT,17,1,15.116420,0.219784,930,1152
RRT,18,1,16.239904,0.117485,667,854
RRT,19,1,16.332803,0.103495,638,744
RRT,20,1,16.775559,0.179889,853,1054
RRT*,1,1,12.336629,11.603226,4181,5000
RRT*,2,1,12.428261,11.342659,4179,5000
RRT*,3,1,12.331361,11.473674,4125,5000
RRT*,4,1,12.318940,11.691287,4176,5000
RRT*,5,1,12.321026,11.160583,4112,5000
RRT*,6,1,12.312808,11.331953,4075,5000
RRT*,7,1,12.350799,11.821074,4194,5000
RRT*,8,1,12.322226,11.002640,4062,5000
RRT*,9,1,12.326953,11.232430,4120,5000
RRT*,10,1,12.388392,11.575147,4116,5000
RRT*,11,1,12.360213,11.392282,4096,5000
RRT*,12,1,12.327225,11.943710,4177,5000
RRT*,13,1,12.335012,11.371567,4151,5000
RRT*,14,1,12.370204,11.713853,4179,5000
RRT*,15,1,12.345366,11.726367,4180,5000
RRT*,16,1,12.349725,12.089732,4167,5000
RRT*,17,1,12.334790,14.389547,4163,5000
RRT*,18,1,12.319441,24.782113,4081,5000
RRT*,19,1,12.423356,26.264594,4173,5000
RRT*,20,1,12.317691,25.518885,4111,5000
PRM,1,1,12.418689,0.699896,502,500
PRM,2,1,12.444664,0.699682,502,500
PRM,3,1,12.407833,0.738783,502,500
PRM,4,1,12.400336,0.705821,502,500
PRM,5,1,12.494907,0.696559,502,500
PRM,6,1,12.405283,0.681005,502,500
PRM,7,1,12.452647,0.704229,502,500
PRM,8,1,12.418406,0.679497,502,500
PRM,9,1,12.397452,0.711132,502,500
PRM,10,1,12.394456,0.758913,502,500
PRM,11,1,12.386064,0.703232,502,500
PRM,12,1,12.576440,0.715160,502,500
PRM,13,1,12.434214,0.713669,502,500
PRM,14,1,12.529757,0.692131,502,500
PRM,15,1,12.501817,0.783968,502,500
PRM,16,1,12.391849,0.698993,502,500
PRM,17,1,12.475179,0.703392,502,500
PRM,18,1,12.329635,0.701801,502,500
PRM,19,1,12.434117,0.698819,502,500
PRM,20,1,12.469663,0.737831,502,500
A*,1,1,13.119419,0.092301,3226,3226
A*,2,1,13.119419,0.088812,3226,3226
A*,3,1,13.119419,0.106486,3226,3226
A*,4,1,13.119419,0.086302,3226,3226
A*,5,1,13.119419,0.090770,3226,3226
A*,6,1,13.119419,0.094639,3226,3226
A*,7,1,13.119419,0.092286,3226,3226
A*,8,1,13.119419,0.092466,3226,3226
A*,9,1,13.119419,0.097269,3226,3226
A*,10,1,13.119419,0.089351,3226,3226
A*,11,1,13.119419,0.089388,3226,3226
A*,12,1,13.119419,0.096121,3226,3226
A*,13,1,13.119419,0.093990,3226,3226
A*,14,1,13.119419,0.110656,3226,3226
A*,15,1,13.119419,0.103706,3226,3226
A*,16,1,13.119419,0.100024,3226,3226
A*,17,1,13.119419,0.102788,3226,3226
A*,18,1,13.119419,0.092704,3226,3226
A*,19,1,13.119419,0.091816,3226,3226
A*,20,1,13.119419,0.090446,3226,3226
